z,y,x,concentration
2.0,-2444.5,0.0,1.668e-16
2.0,-2444.5,285.7142857142857,2.2121e-14
2.0,-2444.5,571.4285714285714,1.463e-13
2.0,-2444.5,857.1428571428571,7.2555e-13
2.0,-2444.5,1142.857142857143,2.9835e-12
2.0,-2444.5,1428.5714285714287,1.0178e-11
2.0,-2444.5,1714.2857142857142,2.8814e-11
2.0,-2444.5,2000.0,6.7755e-11
2.0,-2444.5,2285.714285714286,1.3251e-10
2.0,-2444.5,2571.4285714285716,2.1592e-10
2.0,-2444.5,2857.1428571428573,2.9361e-10
2.0,-2444.5,3142.857142857143,3.3331e-10
2.0,-2444.5,3428.5714285714284,3.1537e-10
2.0,-2444.5,3714.285714285714,2.4769e-10
2.0,-2444.5,4000.0,1.606e-10
2.0,-2444.5,4285.714285714286,8.5514e-11
2.0,-2444.5,4571.428571428572,3.7284e-11
2.0,-2444.5,4857.142857142857,1.3312e-11
2.0,-2444.5,5142.857142857143,3.9074e-12
2.0,-2444.5,5428.571428571428,9.4766e-13
2.0,-2444.5,5714.285714285715,1.9094e-13
2.0,-2444.5,6000.0,2.5825e-14
2.0,-2444.5,6285.714285714286,0.0
2.0,-2444.5,6571.428571428572,0.0
2.0,-2444.5,6857.142857142857,0.0
2.0,-2444.5,7142.857142857143,0.0
2.0,-2444.5,7428.571428571428,0.0
2.0,-2444.5,7714.285714285715,0.0
2.0,-2444.5,8000.0,0.0
2.0,-2444.5,8285.714285714286,0.0
2.0,-2444.5,8571.428571428572,0.0
2.0,-2444.5,8857.142857142857,0.0
2.0,-2444.5,9142.857142857143,0.0
2.0,-2444.5,9428.57142857143,0.0
2.0,-2444.5,9714.285714285714,0.0
2.0,-2444.5,10000.0,0.0
2.0,-2256.5,0.0,1.0972e-14
2.0,-2256.5,285.7142857142857,8.7513e-14
2.0,-2256.5,571.4285714285714,5.2405e-13
2.0,-2256.5,857.1428571428571,2.6002e-12
2.0,-2256.5,1142.857142857143,1.0696e-11
2.0,-2256.5,1428.5714285714287,3.6518e-11
2.0,-2256.5,1714.2857142857142,1.0347e-10
2.0,-2256.5,2000.0,2.4366e-10
2.0,-2256.5,2285.714285714286,4.7779e-10
2.0,-2256.5,2571.4285714285716,7.8202e-10
2.0,-2256.5,2857.1428571428573,1.0706e-09
2.0,-2256.5,3142.857142857143,1.2265e-09
2.0,-2256.5,3428.5714285714284,1.1728e-09
2.0,-2256.5,3714.285714285714,9.3077e-10
2.0,-2256.5,4000.0,6.0845e-10
2.0,-2256.5,4285.714285714286,3.2541e-10
2.0,-2256.5,4571.428571428572,1.4183e-10
2.0,-2256.5,4857.142857142857,5.04e-11
2.0,-2256.5,5142.857142857143,1.4666e-11
2.0,-2256.5,5428.571428571428,3.5205e-12
2.0,-2256.5,5714.285714285715,7.0222e-13
2.0,-2256.5,6000.0,1.1695e-13
2.0,-2256.5,6285.714285714286,1.3095e-14
2.0,-2256.5,6571.428571428572,0.0
2.0,-2256.5,6857.142857142857,0.0
2.0,-2256.5,7142.857142857143,0.0
2.0,-2256.5,7428.571428571428,0.0
2.0,-2256.5,7714.285714285715,0.0
2.0,-2256.5,8000.0,0.0
2.0,-2256.5,8285.714285714286,0.0
2.0,-2256.5,8571.428571428572,0.0
2.0,-2256.5,8857.142857142857,0.0
2.0,-2256.5,9142.857142857143,0.0
2.0,-2256.5,9428.57142857143,0.0
2.0,-2256.5,9714.285714285714,0.0
2.0,-2256.5,10000.0,0.0
2.0,-2068.5,0.0,3.543e-14
2.0,-2068.5,285.7142857142857,2.8323e-13
2.0,-2068.5,571.4285714285714,1.6956e-12
2.0,-2068.5,857.1428571428571,8.4161e-12
2.0,-2068.5,1142.857142857143,3.4649e-11
2.0,-2068.5,1428.5714285714287,1.1834e-10
2.0,-2068.5,1714.2857142857142,3.3561e-10
2.0,-2068.5,2000.0,7.917e-10
2.0,-2068.5,2285.714285714286,1.5575e-09
2.0,-2068.5,2571.4285714285716,2.5633e-09
2.0,-2068.5,2857.1428571428573,3.539e-09
2.0,-2068.5,3142.857142857143,4.1002e-09
2.0,-2068.5,3428.5714285714284,3.9714e-09
2.0,-2068.5,3714.285714285714,3.1907e-09
2.0,-2068.5,4000.0,2.1057e-09
2.0,-2068.5,4285.714285714286,1.1317e-09
